transcript_id,SRR21831518,SRR21831519,SRR21831520,SRR21837144,SRR21837145,SRR21837146
TrSC58v2_175.t1.e1,9,8,22,35,20,100
TrSC58v2_175.t1,7,7,21,26,16,85
TrSC58v2_91.t1.e1,0,0,0,0,0,0
TrSC58v2_91.t1,0,0,0,0,0,0
TrSC58v2_96.t1,0,0,6,9,8,21
TrSC58v2_96.t1.e1,0,0,8,14,11,25
TrSC58v2_97.t1,0,0,1,1,1,14
TrSC58v2_97.t1.e1,0,3,11,10,21,18
TrSC58v2_103.t1,0,0,0,1,9,10
TrSC58v2_103.t1.e1,0,7,0,16,10,11
TrSC58v2_106.t1,0,0,4,0,2,30
TrSC58v2_106.t1.e1,0,3,5,29,9,41
TrSC58v2_109.t1,0,11,19,36,10,43
TrSC58v2_109.t1.e1,0,13,26,44,13,49
TrSC58v2_110.t1,0,1,20,18,18,52
TrSC58v2_110.t1.e1,0,15,24,21,21,60
TrSC58v2_113.t1,0,0,1,0,1,8
TrSC58v2_113.t1.e1,0,0,4,2,1,9
TrSC58v2_117.t1,0,0,4,13,5,20
TrSC58v2_117.t1.e1,0,0,5,19,6,23
TrSC58v2_120.t1,0,0,1,0,0,14
TrSC58v2_120.t1.e1,0,8,10,21,13,17
MSTRG.121.1,0,0,0,15,19,58
TrSC58v2_123.t1,0,2,0,7,1,10
TrSC58v2_123.t1.e1,0,5,4,8,3,10
TrSC58v2_124.t1,0,0,4,0,4,5
TrSC58v2_124.t1.e1,0,0,4,9,8,7
TrSC58v2_128.t1,0,0,1,2,1,3
TrSC58v2_128.t1.e1,0,0,5,6,10,27
TrSC58v2_131.t1,0,4,5,2,0,30
TrSC58v2_131.t1.e1,0,5,6,12,0,37
TrSC58v2_132.t1,0,0,8,8,8,14
TrSC58v2_132.t1.e1,0,13,9,10,12,18
TrSC58v2_133.t1,0,2,2,8,16,19
TrSC58v2_133.t1.e1,0,6,6,9,18,21
TrSC58v2_134.t1,0,2,1,1,0,21
TrSC58v2_134.t1.e1,0,5,3,9,0,25
TrSC58v2_138.t1,0,0,3,2,2,25
TrSC58v2_138.t1.e1,0,0,9,9,3,27
TrSC58v2_143.t1,0,0,0,4,8,11
